City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,lakota,5.8528,-5.6883,28.86,41,100,1.91,CI,1707073003
161,margaret river,-33.95,115.0667,14.95,66,81,3.12,AU,1707073003
162,acapulco de juarez,16.8634,-99.8901,28.55,50,1,6.06,MX,1707072767
163,cidreira,-30.1811,-50.2056,27.39,75,2,4.37,BR,1707073004
164,hassi messaoud,31.6804,6.0729,13.59,44,0,3.33,DZ,1707072922
165,tindouf,27.6711,-8.1474,15.33,31,58,5.23,DZ,1707073004
166,basco,20.4487,121.9702,25.28,88,58,6.18,PH,1707073004
167,carnarvon,-24.8667,113.6333,22.64,63,0,11.4,AU,1707073004
168,simojovel de allende,17.2,-92.6333,28.98,33,0,2.23,MX,1707073005
169,dzierzgon,53.922,19.3471,5.43,90,100,9.42,PL,1707073005
170,aneho,6.2333,1.6,30.11,76,11,4.43,TG,1707073005
171,kouango,4.9934,19.9619,28.95,22,71,1.04,CF,1707073005
172,karratha,-20.7377,116.8463,31.3,40,74,6.46,AU,1707073005
173,howard springs,-12.497,131.047,27.95,95,0,2.76,AU,1707073006
174,cartagena,10.3997,-75.5144,30.79,70,20,5.14,CO,1707072933
175,nis,43.7031,7.2661,15.6,75,75,1.54,FR,1707073006
176,ancud,-41.8697,-73.8203,18.17,55,54,4.7,CL,1707073006
177,el gouna,27.3942,33.6782,16.05,45,0,6.53,EG,1707073006
178,umba,66.6871,34.3429,-7.18,93,100,6.5,RU,1707073007
179,broken hill,-31.95,141.4333,24.15,70,100,11.0,AU,1707072933
180,guelendeng,10.9176,15.5501,25.64,15,67,3.63,TD,1707073007
181,mahbubnagar,16.7333,77.9833,22.73,60,0,2.52,IN,1707073007
182,meadow lakes,61.6247,-149.6011,-5.45,86,100,0.0,US,1707073008
183,bamboo flat,11.7,92.7167,26.05,78,18,1.03,IN,1707073008
184,dunedin,-45.8742,170.5036,16.56,74,53,1.34,NZ,1707073008
185,kapa'a,22.0752,-159.319,22.18,69,100,10.29,US,1707072834
186,pontes e lacerda,-15.2261,-59.3353,30.96,48,100,2.91,BR,1707073008
187,lhasa,29.65,91.1,0.54,33,42,2.87,CN,1707073008
188,kudahuvadhoo,2.6708,72.8944,27.76,79,12,7.51,MV,1707073009
189,alaghsas,17.0187,8.0168,21.94,11,0,8.23,NE,1707073009
190,bel ombre,-4.6167,55.4167,27.91,78,20,2.06,SC,1707073009
191,virginia,37.5481,-77.4467,12.84,42,0,2.06,US,1707072735
192,along,28.1667,94.7667,11.46,75,100,0.75,IN,1707073010
193,avarua,-21.2078,-159.775,28.03,78,42,1.03,CK,1707072642
194,nizhniy kuranakh,58.8353,125.4869,-32.0,98,99,1.15,RU,1707073010
195,quellon,-43.1167,-73.6167,19.22,47,0,0.78,CL,1707073010
196,qianzhou,28.3167,109.7167,-1.77,95,100,0.95,CN,1707073011
197,ust-nera,64.5667,143.2,-29.44,97,98,1.88,RU,1707073011
198,nogliki,51.8333,143.1667,-22.59,93,21,3.58,RU,1707072841
199,keflavik,64.0049,-22.5624,-4.76,86,75,3.09,IS,1707073011
200,concepcion,-36.827,-73.0498,21.89,49,0,8.23,CL,1707073011
201,kharp,66.8014,65.8081,-15.5,97,100,0.79,RU,1707073012
202,sinazongwe,-17.2614,27.4618,27.61,63,18,2.96,ZM,1707073012
203,koz'modem'yansk,56.3367,46.5711,-2.01,96,100,3.66,RU,1707073012
204,gadzhiyevo,69.2551,33.3362,-11.73,84,99,7.16,RU,1707073012
205,wacheng,33.7833,114.5167,-9.36,98,74,2.12,CN,1707073012
206,capao bonito,-24.0058,-48.3494,26.29,56,100,3.34,BR,1707073013
207,langsa,4.4683,97.9683,23.96,92,100,1.57,ID,1707073013
208,barra de santo antonio,-9.4047,-35.5072,31.6,69,9,4.2,BR,1707073013
209,aykhal,66.0,111.5,-29.68,93,74,3.21,RU,1707073013
210,punta arenas,-53.15,-70.9167,20.06,60,75,2.57,CL,1707073014
211,port elizabeth,-33.918,25.5701,23.39,95,40,3.09,ZA,1707073014
212,valley city,46.9233,-98.0032,-0.71,100,100,0.0,US,1707073014
213,albertina,-22.2008,-46.6158,18.19,87,100,1.14,BR,1707073014
214,sodankyla,67.4167,26.6,-7.15,93,100,4.93,FI,1707073014
215,rehoboth,-23.3167,17.0833,26.43,49,26,3.83,NA,1707073015
216,chernyshevskiy,63.0128,112.4714,-31.73,100,100,0.86,RU,1707073015
217,katsuura,35.1333,140.3,7.1,80,100,4.48,JP,1707073015
218,faya-largeau,17.9257,19.1043,18.69,16,8,9.92,TD,1707073015
219,isafjordur,66.0755,-23.124,-2.98,74,100,5.66,IS,1707073015
220,enshi,30.3,109.4833,2.87,95,100,0.68,CN,1707073016
221,phongsali,21.6833,102.1058,7.95,69,0,0.42,LA,1707073016
222,thompson,55.7435,-97.8558,-2.91,86,100,4.12,CA,1707073016
223,alice springs,-23.7,133.8833,30.75,39,17,3.09,AU,1707073016
224,betio village,1.358,172.9211,28.02,79,92,6.31,KI,1707073016
225,pundong,-7.9522,110.3486,23.83,96,100,1.24,ID,1707073017
226,skjern,55.95,8.5,7.4,91,100,9.95,DK,1707073017
227,tacuarembo,-31.7333,-55.9833,35.31,34,26,2.08,UY,1707073017
228,russellville,35.2784,-93.1338,11.19,86,100,2.57,US,1707072921
229,inari,68.906,27.0288,-17.1,100,84,1.72,FI,1707073018
230,choyr,46.3611,108.3611,-17.97,87,100,2.18,MN,1707073018
231,nantucket,41.2835,-70.0995,2.23,55,0,10.8,US,1707073018
232,kodiak,57.79,-152.4072,-0.27,93,75,4.12,US,1707073018
233,mount isa,-20.7333,139.5,25.87,89,72,3.09,AU,1707072795
234,gao,16.6362,1.637,20.7,9,5,5.38,ML,1707073019
235,temerluh,3.4506,102.4176,23.88,99,100,0.13,MY,1707073019
236,ji'an,27.1172,114.9793,2.81,84,100,2.62,CN,1707073019
237,inverness,57.4791,-4.224,7.11,86,75,6.69,GB,1707073019
238,taoudenni,22.6783,-3.9836,19.97,17,0,5.6,ML,1707073019
239,namibe,-15.1961,12.1522,26.23,79,92,2.62,AO,1707073020
240,krasnovishersk,60.4078,57.082,-15.36,94,96,1.82,RU,1707073020
241,bubaque,11.2833,-15.8333,26.52,75,0,5.88,GW,1707073020
242,hamilton,39.1834,-84.5333,13.66,44,0,5.14,US,1707073020
243,yarmouth,41.7057,-70.2286,3.08,62,0,9.39,US,1707073020
244,st. john's,47.5649,-52.7093,2.04,96,100,11.83,CA,1707073021
245,antofagasta,-23.65,-70.4,27.6,66,7,2.93,CL,1707073021
246,el granada,37.5027,-122.4694,13.97,92,100,11.32,US,1707072805
247,colon,9.3592,-79.9014,29.39,62,92,1.34,PA,1707073021
248,fuglafjordur,62.244,-6.814,1.26,65,99,4.99,FO,1707073022
249,lazaro cardenas,17.9583,-102.2,27.14,56,0,4.76,MX,1707073022
250,olinda,-8.0089,-34.8553,29.85,70,40,4.12,BR,1707073022
251,aioun,16.6614,-9.6149,25.83,7,22,5.5,MR,1707073022
252,kourou,5.1552,-52.6478,32.03,69,100,4.27,GF,1707073023
253,taytay,14.5678,121.1394,26.96,81,20,2.57,PH,1707073023
254,tura,25.5198,90.2201,13.5,44,67,1.4,IN,1707073023
255,petrovsk,52.3064,45.3917,0.17,91,100,7.46,RU,1707073023
256,krutinka,56.0055,71.5113,-7.04,91,100,6.95,RU,1707073023
257,zdvinsk,54.7021,78.661,-5.29,90,100,5.95,RU,1707073024
258,kirkwall,58.9848,-2.9587,6.09,81,75,6.17,GB,1707073024
259,udachny,66.4167,112.4,-31.64,96,56,2.3,RU,1707073024
260,talnakh,69.4865,88.3972,-18.22,97,100,2.87,RU,1707072730
261,sao luis de montes belos,-16.525,-50.3722,20.92,95,100,1.4,BR,1707073025
